,epoch_nums,epochs,eta_decay,eta_initial,final_t_accuracy,final_t_cost,final_v_accuracy,final_v_cost,hidden_size,lamda,plot,rho,t_accuracy,t_cost,v_accuracy,v_cost 
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.301,3.3038223338120267,0.2877,3.3225662150745365,50,0.05,plotresults/Csearch21.png,0.9,"[0.20300000000000001, 0.2646, 0.29299999999999998, 0.32229999999999998, 0.30099999999999999]","[7.3024372564782674, 6.3117630839960839, 5.1894841826935831, 4.1411820316554149, 3.3038223338120267]","[0.1996, 0.25700000000000001, 0.28179999999999999, 0.30940000000000001, 0.28770000000000001]","[7.3064495557825175, 6.3228263777053844, 5.2056930946534949, 4.1596431669812635, 3.3225662150745365]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.3106,4.529299575627756,0.2977,4.5529608387308365,50,0.05,plotresults/Csearch22.png,0.9,"[0.21679999999999999, 0.2487, 0.28289999999999998, 0.3024, 0.31059999999999999]","[7.6154859744159911, 6.9652148359292996, 6.1603299831512128, 5.311392613661063, 4.5292995756277561]","[0.20810000000000001, 0.23810000000000001, 0.2747, 0.29720000000000002, 0.29770000000000002]","[7.6235037807638202, 6.9789520648698673, 6.1808516683984411, 5.3348572175656894, 4.5529608387308365]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.2632,6.553981896278163,0.2568,6.5695099733193585,50,0.05,plotresults/Csearch23.png,0.9,"[0.10829999999999999, 0.17369999999999999, 0.22570000000000001, 0.2487, 0.26319999999999999]","[7.946801340807168, 7.6551553760641369, 7.3121518530729066, 6.9426215664045623, 6.5539818962781631]","[0.1132, 0.17249999999999999, 0.21890000000000001, 0.245, 0.25679999999999997]","[7.9487751525786789, 7.6603552613252583, 7.321157141852642, 6.9548033099763291, 6.5695099733193585]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.05,0.2348,7.240880869791708,0.2353,7.246881994646513,50,0.05,plotresults/Csearch24.png,0.9,"[0.1181, 0.15379999999999999, 0.18729999999999999, 0.2142, 0.23480000000000001]","[8.0362480111545764, 7.8757911522754309, 7.6831493441445797, 7.4698043462823698, 7.2408808697917078]","[0.12189999999999999, 0.15679999999999999, 0.18690000000000001, 0.21560000000000001, 0.23530000000000001]","[8.0328283867478589, 7.8743939279226414, 7.6839459975449644, 7.4731551197533435, 7.2468819946465128]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.16,7.8353964217822165,0.1537,7.84084839526021,50,0.05,plotresults/Csearch25.png,0.9,"[0.1036, 0.10970000000000001, 0.12130000000000001, 0.13739999999999999, 0.16]","[8.0286456865073035, 7.9952465669600628, 7.9499981816933714, 7.8958317815650236, 7.8353964217822165]","[0.094799999999999995, 0.1026, 0.115, 0.13159999999999999, 0.1537]","[8.0329606426041096, 7.9998771909308246, 7.954934532332695, 7.9010275023446228, 7.8408483952602097]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1184,7.943231661494206,0.1166,7.945886176361961,50,0.05,plotresults/Csearch26.png,0.9,"[0.0877, 0.091999999999999998, 0.098199999999999996, 0.1074, 0.11840000000000001]","[8.0462515791412557, 8.0287112716917513, 8.004769930112948, 7.9758568466250788, 7.943231661494206]","[0.089499999999999996, 0.094200000000000006, 0.099900000000000003, 0.1069, 0.1166]","[8.046810720660508, 8.0296659795696712, 8.0062293626858398, 7.9778778990419674, 7.9458861763619613]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.1166,8.120323066670924,0.1128,8.120900029632821,50,0.05,plotresults/Csearch27.png,0.9,"[0.11310000000000001, 0.113, 0.1137, 0.1154, 0.1166]","[8.1421523741817268, 8.1385407048911436, 8.1335440299206887, 8.1274004790231817, 8.1203230666709239]","[0.1087, 0.1094, 0.1104, 0.11119999999999999, 0.1128]","[8.1424546311146315, 8.1388877779849409, 8.1339527168653731, 8.1278864316181476, 8.1209000296328213]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.1751,2.4876136956914534,0.1684,2.495636890492391,50,0.1,plotresults/Csearch28.png,0.9,"[0.22620000000000001, 0.27289999999999998, 0.29899999999999999, 0.26729999999999998, 0.17510000000000001]","[11.62258994948863, 8.2527910374027371, 5.0912053389953353, 3.0824002786704714, 2.4876136956914534]","[0.218, 0.26190000000000002, 0.2873, 0.25169999999999998, 0.16839999999999999]","[11.628207780255892, 8.2618691306347021, 5.1038866521693649, 3.0945755210745771, 2.4956368904923911]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.2971,3.648741441463611,0.2887,3.6619345691555707,50,0.1,plotresults/Csearch29.png,0.9,"[0.21279999999999999, 0.25580000000000003, 0.28160000000000002, 0.307, 0.29709999999999998]","[12.271516115509918, 10.030640801446211, 7.5521556050889682, 5.3166794738849079, 3.6487414414636108]","[0.20710000000000001, 0.24560000000000001, 0.27100000000000002, 0.29039999999999999, 0.28870000000000001]","[12.277145723036551, 10.042437904961165, 7.5674512768271356, 5.3321148421973037, 3.6619345691555707]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.2589,8.907964480696293,0.2546,8.923954438031435,50,0.1,plotresults/Csearch30.png,0.9,"[0.16159999999999999, 0.2056, 0.22989999999999999, 0.2455, 0.25890000000000002]","[13.399606883574815, 12.516784192259955, 11.41092986928078, 10.179893275842925, 8.9079644806962932]","[0.16250000000000001, 0.20430000000000001, 0.22589999999999999, 0.24049999999999999, 0.25459999999999999]","[13.398292269440844, 12.521701626384148, 11.421231109024991, 10.193690677637822, 8.9239544380314353]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.05,0.2184,11.075364527123732,0.2103,11.085765961562403,50,0.1,plotresults/Csearch31.png,0.9,"[0.099000000000000005, 0.15060000000000001, 0.18410000000000001, 0.20080000000000001, 0.21840000000000001]","[13.621117960394837, 13.140283047252295, 12.530078930813916, 11.831716794577515, 11.075364527123732]","[0.097699999999999995, 0.1474, 0.1764, 0.1951, 0.21029999999999999]","[13.618876861559951, 13.141061708285516, 12.534329487223834, 11.83911485537269, 11.085765961562403]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.1279,13.171692404544668,0.1201,13.178402979019328,50,0.1,plotresults/Csearch32.png,0.9,"[0.084000000000000005, 0.089200000000000002, 0.097600000000000006, 0.1114, 0.12790000000000001]","[13.768108550829188, 13.665558086135643, 13.526398978048151, 13.359296174834927, 13.171692404544668]","[0.078799999999999995, 0.083699999999999997, 0.0901, 0.1038, 0.1201]","[13.772737465488937, 13.67060590866995, 13.531937978603196, 13.365384069260251, 13.178402979019328]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1036,13.628207298844044,0.1037,13.630592892790812,50,0.1,plotresults/Csearch33.png,0.9,"[0.088499999999999995, 0.090399999999999994, 0.093600000000000003, 0.098199999999999996, 0.1036]","[13.943259623437269, 13.890129138795828, 13.817298254257008, 13.728787460808956, 13.628207298844044]","[0.092999999999999999, 0.095000000000000001, 0.097799999999999998, 0.1012, 0.1037]","[13.943117058024173, 13.890436518878577, 13.81819927934694, 13.730399356240984, 13.630592892790812]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.09,13.490900758638846,0.0882,13.489321710158798,50,0.1,plotresults/Csearch34.png,0.9,"[0.085999999999999993, 0.086300000000000002, 0.087499999999999994, 0.088900000000000007, 0.089999999999999997]","[13.552211169998635, 13.542088961735827, 13.528068460964844, 13.510810656862049, 13.490900758638846]","[0.085400000000000004, 0.085800000000000001, 0.085900000000000004, 0.086800000000000002, 0.088200000000000001]","[13.550117001607688, 13.540080613840214, 13.526176050225585, 13.509062062354392, 13.489321710158798]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.1032,24.17868206151696,0.1008,24.1862892959358,50,0.3,plotresults/Csearch35.png,0.9,"[0.2273, 0.25359999999999999, 0.055899999999999998, 0.047899999999999998, 0.1032]","[18.933051969687405, 4.1605394800385049, 4.8714231489790691, 15.888393494363612, 24.178682061516959]","[0.22339999999999999, 0.2457, 0.055599999999999997, 0.048000000000000001, 0.1008]","[18.939317696620325, 4.1642745415200801, 4.8715267503394646, 15.891010649526567, 24.186289295935801]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.0688,10.295339184039298,0.0681,10.290826415292422,50,0.3,plotresults/Csearch36.png,0.9,"[0.21179999999999999, 0.23710000000000001, 0.26119999999999999, 0.069500000000000006, 0.0688]","[25.618394133925527, 11.555914638342003, 3.28995829535969, 3.815234439376451, 10.295339184039298]","[0.2044, 0.22919999999999999, 0.25629999999999997, 0.069500000000000006, 0.068099999999999994]","[25.620681934767731, 11.5624907093622, 3.2938606840579192, 3.8136260688785493, 10.290826415292422]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.2675,6.681487407239546,0.2599,6.686501280309319,50,0.3,plotresults/Csearch37.png,0.9,"[0.16719999999999999, 0.2069, 0.23749999999999999, 0.25690000000000002, 0.26750000000000002]","[33.295507607356171, 26.546877381656127, 18.939018565334319, 11.977030490467309, 6.6814874072395458]","[0.15740000000000001, 0.19950000000000001, 0.2248, 0.24560000000000001, 0.25990000000000002]","[33.302288463582279, 26.553779361743381, 18.946025201561238, 11.98330606942157, 6.6865012803093187]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.05,0.2306,16.787244161630742,0.22,16.797274415312103,50,0.3,plotresults/Csearch38.png,0.9,"[0.13300000000000001, 0.16450000000000001, 0.1978, 0.21990000000000001, 0.2306]","[34.257113728391552, 30.704970397378052, 26.25546402320736, 21.463042383206769, 16.787244161630742]","[0.13150000000000001, 0.16020000000000001, 0.19209999999999999, 0.2114, 0.22]","[34.25863093185729, 30.709620188634986, 26.263258778012428, 21.47261602086455, 16.797274415312103]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.1493,32.07801712929412,0.1477,32.08037136041027,50,0.3,plotresults/Csearch39.png,0.9,"[0.112, 0.1168, 0.12429999999999999, 0.1371, 0.14929999999999999]","[36.560984161860908, 35.792741569471787, 34.747049404467191, 33.489232458380641, 32.078017129294118]","[0.107, 0.11260000000000001, 0.123, 0.13389999999999999, 0.1477]","[36.562202982790033, 35.794196078988939, 34.748788413638572, 33.491277429403354, 32.080371360410268]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1258,34.1949640353201,0.1227,34.19677495324862,50,0.3,plotresults/Csearch40.png,0.9,"[0.1048, 0.1079, 0.1124, 0.1186, 0.1258]","[36.49817701169583, 36.111172816597694, 35.579514763677473, 34.932148125410137, 34.194964035320098]","[0.1031, 0.1055, 0.1099, 0.1172, 0.1227]","[36.499941098245692, 36.112966687007869, 35.581311220482704, 34.933948397891491, 34.196774953248621]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.1002,36.317603121234676,0.1013,36.31679521529377,50,0.3,plotresults/Csearch41.png,0.9,"[0.097100000000000006, 0.097100000000000006, 0.098000000000000004, 0.098799999999999999, 0.1002]","[36.792389128447525, 36.713973698050332, 36.605371885228287, 36.47173110607433, 36.317603121234676]","[0.099500000000000005, 0.099699999999999997, 0.1003, 0.099900000000000003, 0.1013]","[36.791126109097299, 36.712787807671475, 36.604292834973428, 36.470779007630128, 36.316795215293773]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.2352,28.809182685632074,0.2325,28.81060023260754,50,0.5,plotresults/Csearch42.png,0.9,"[0.21890000000000001, 0.042200000000000001, 0.050700000000000002, 0.15609999999999999, 0.23519999999999999]","[16.568724944284082, 4.5931432048458163, 32.359087728961526, 47.508514137306186, 28.809182685632074]","[0.21779999999999999, 0.043799999999999999, 0.047, 0.15290000000000001, 0.23250000000000001]","[16.571699729594808, 4.5914023873887402, 32.355718751524691, 47.512825386687595, 28.810600232607541]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.0813,39.36336566331636,0.0776,39.362763526918535,50,0.5,plotresults/Csearch43.png,0.9,"[0.1951, 0.21859999999999999, 0.043499999999999997, 0.045100000000000001, 0.081299999999999997]","[30.372903911856991, 5.3996240681677712, 6.4062986531609507, 25.113715138486761, 39.363365663316358]","[0.19159999999999999, 0.21329999999999999, 0.043299999999999998, 0.044299999999999999, 0.077600000000000002]","[30.376899009872368, 5.4019486258117064, 6.4034188372310634, 25.109079089274143, 39.362763526918535]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.1994,2.4329691717977555,0.1914,2.4338227163247756,50,0.5,plotresults/Csearch44.png,0.9,"[0.15329999999999999, 0.2195, 0.2482, 0.25569999999999998, 0.19939999999999999]","[48.410873000312023, 32.125839971941659, 16.553169199373666, 6.0866758449125262, 2.4329691717977555]","[0.14510000000000001, 0.20930000000000001, 0.2331, 0.23910000000000001, 0.19139999999999999]","[48.413852482023067, 32.131171407492225, 16.558971642471072, 6.090729783886986, 2.4338227163247756]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.05,0.2295,13.865907876888993,0.2242,13.872290710854509,50,0.5,plotresults/Csearch45.png,0.9,"[0.14910000000000001, 0.18090000000000001, 0.2046, 0.22109999999999999, 0.22950000000000001]","[54.01190969160254, 44.620697591397068, 33.602202715183097, 22.878632972394545, 13.865907876888993]","[0.14430000000000001, 0.17180000000000001, 0.19489999999999999, 0.20949999999999999, 0.22420000000000001]","[54.017323961614608, 44.627753155758668, 33.610245817616203, 22.886306280636564, 13.872290710854509]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.1447,46.715512341682484,0.1436,46.71927190160781,50,0.5,plotresults/Csearch46.png,0.9,"[0.114, 0.11940000000000001, 0.12520000000000001, 0.1323, 0.1447]","[58.604952212449888, 56.512838254402894, 53.700148187543739, 50.372745414867573, 46.715512341682484]","[0.10970000000000001, 0.11360000000000001, 0.1212, 0.1295, 0.14360000000000001]","[58.606101560084838, 56.514501219674052, 53.702481589263783, 50.375810775730088, 46.719271901607812]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1085,52.56695288180559,0.1146,52.570932779993036,50,0.5,plotresults/Csearch47.png,0.9,"[0.082600000000000007, 0.085599999999999996, 0.090700000000000003, 0.099599999999999994, 0.1085]","[58.744267485545251, 57.693768816144264, 56.258635856223911, 54.524140633372276, 52.566952881805591]","[0.085400000000000004, 0.088499999999999995, 0.094799999999999995, 0.104, 0.11459999999999999]","[58.747479079984657, 57.697104140181629, 56.262154758602072, 54.527893550930209, 52.570932779993036]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.0955,58.392141957811184,0.0904,58.394093519451005,50,0.5,plotresults/Csearch48.png,0.9,"[0.092899999999999996, 0.092499999999999999, 0.093700000000000006, 0.094299999999999995, 0.095500000000000002]","[59.686905175150095, 59.472572172045922, 59.176047044766484, 58.811667099580049, 58.392141957811184]","[0.088700000000000001, 0.088999999999999996, 0.089300000000000004, 0.089800000000000005, 0.090399999999999994]","[59.688462813322978, 59.474197194648696, 59.177764251458797, 58.813494930891473, 58.394093519451005]"
