,epoch_nums,epochs,eta_decay,eta_initial,final_t_accuracy,final_t_cost,final_v_accuracy,final_v_cost,hidden_size,lamda,plot,rho,t_accuracy,t_cost,v_accuracy,v_cost 
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.2833333333333333,0.3785,2.173469323039898,0.3504,2.245682409366345,50,0.0034999999999999996,plotresults/Fsearch10.png,0.9,"[0.19980000000000001, 0.2341, 0.26319999999999999, 0.2873, 0.31169999999999998, 0.32419999999999999, 0.33050000000000002, 0.3503, 0.36980000000000002, 0.3785]","[2.6002014332597136, 2.5212711206502116, 2.4542543700129134, 2.3851600912528426, 2.3321518892721556, 2.2991167187841834, 2.2699384272415579, 2.2363066602136641, 2.199516576381821, 2.1734693230398978]","[0.19259999999999999, 0.22500000000000001, 0.25659999999999999, 0.28199999999999997, 0.30309999999999998, 0.30599999999999999, 0.308, 0.32279999999999998, 0.3387, 0.35039999999999999]","[2.6086985783116274, 2.5388267769084436, 2.4771935267085929, 2.411398850679805, 2.3640087082979568, 2.3384030078617779, 2.3177880558035033, 2.2925448328797771, 2.264166402706314, 2.2456824093663448]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.25,0.3571,2.21219944817785,0.3277,2.2821081694723238,50,0.0034999999999999996,plotresults/Fsearch11.png,0.9,"[0.15210000000000001, 0.2208, 0.26500000000000001, 0.29709999999999998, 0.30840000000000001, 0.3196, 0.33979999999999999, 0.35720000000000002, 0.35630000000000001, 0.35709999999999997]","[2.6456653205051155, 2.5436984005698942, 2.4600730333548908, 2.3971458480601555, 2.3603048725206994, 2.3205159631501688, 2.2714410794586408, 2.2454947138636201, 2.2361049821036598, 2.21219944817785]","[0.1512, 0.21709999999999999, 0.25900000000000001, 0.29449999999999998, 0.3009, 0.31240000000000001, 0.3296, 0.33310000000000001, 0.3246, 0.32769999999999999]","[2.646554844965999, 2.5468018052453663, 2.4690610952871426, 2.4135410154216377, 2.3837643765744292, 2.3528739109784862, 2.3145790899618306, 2.2996979065823968, 2.2994694832529015, 2.2821081694723238]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.35,0.3845,2.0672804167398118,0.3613,2.148706985155865,50,0.00275,plotresults/Fsearch12.png,0.9,"[0.20050000000000001, 0.2455, 0.28189999999999998, 0.31809999999999999, 0.33579999999999999, 0.33700000000000002, 0.35239999999999999, 0.37130000000000002, 0.38109999999999999, 0.38450000000000001]","[2.4974800075706862, 2.4150286909319769, 2.3602860779742008, 2.2752074121440882, 2.2157207695138572, 2.1890633613313564, 2.1474437583906805, 2.1111031094769497, 2.0854303188175312, 2.0672804167398118]","[0.20130000000000001, 0.24629999999999999, 0.27700000000000002, 0.3039, 0.32040000000000002, 0.32069999999999999, 0.33310000000000001, 0.34589999999999999, 0.35489999999999999, 0.36130000000000001]","[2.4994205354833503, 2.4238124736870832, 2.3772257197272095, 2.3022438641642879, 2.2503699464820217, 2.2334388198055652, 2.2047355519287732, 2.1794615276983449, 2.1618555360583307, 2.1487069851558651]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.31666666666666665,0.3696,2.0948548629448864,0.3486,2.1717388205316577,50,0.00275,plotresults/Fsearch13.png,0.9,"[0.1777, 0.23350000000000001, 0.28399999999999997, 0.29509999999999997, 0.31330000000000002, 0.32679999999999998, 0.33179999999999998, 0.34370000000000001, 0.35759999999999997, 0.36959999999999998]","[2.5164663599312287, 2.4504289395737828, 2.3579214409982194, 2.3087508112823549, 2.2550671056987879, 2.2128565103066138, 2.1822033640171359, 2.147893025176995, 2.1216818798814487, 2.0948548629448864]","[0.18090000000000001, 0.2326, 0.27610000000000001, 0.28749999999999998, 0.30730000000000002, 0.32200000000000001, 0.32090000000000002, 0.3306, 0.33800000000000002, 0.34860000000000002]","[2.5244505580691454, 2.4638342852772968, 2.3783705380449129, 2.3359248766685039, 2.2876965577810355, 2.2526376128445129, 2.2312905666056868, 2.2071503675377189, 2.1901373549764833, 2.1717388205316577]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.2833333333333333,0.3674,2.1053136575020153,0.3462,2.1792695859520133,50,0.00275,plotresults/Fsearch14.png,0.9,"[0.21640000000000001, 0.25230000000000002, 0.26919999999999999, 0.28599999999999998, 0.31459999999999999, 0.3327, 0.34350000000000003, 0.3513, 0.36230000000000001, 0.3674]","[2.5024071367681073, 2.4186518797800893, 2.3589659487980872, 2.3087829012940824, 2.2524779590909634, 2.2183329635128008, 2.1909182104697331, 2.1552327181312254, 2.1201097986634867, 2.1053136575020153]","[0.2089, 0.23899999999999999, 0.26900000000000002, 0.27800000000000002, 0.30309999999999998, 0.31380000000000002, 0.32140000000000002, 0.32390000000000002, 0.33589999999999998, 0.34620000000000001]","[2.5074672417185186, 2.4295323579965502, 2.3749802284727144, 2.331963247607947, 2.2869426865417357, 2.2637917450667966, 2.2455325730830427, 2.2186106420292426, 2.1899839560304692, 2.1792695859520133]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.25,0.3668,2.120140152395286,0.3433,2.1799159423136647,50,0.00275,plotresults/Fsearch15.png,0.9,"[0.20649999999999999, 0.2384, 0.2737, 0.2928, 0.30080000000000001, 0.31, 0.33150000000000002, 0.34849999999999998, 0.35709999999999997, 0.36680000000000001]","[2.5051838696371322, 2.4387686379741589, 2.3624648388565053, 2.298477170090115, 2.2666140322307395, 2.2415129342149758, 2.2048183034611775, 2.1711946051648829, 2.1453601916042428, 2.1201401523952859]","[0.2089, 0.22919999999999999, 0.26719999999999999, 0.28470000000000001, 0.29420000000000002, 0.2969, 0.3155, 0.32729999999999998, 0.33650000000000002, 0.34329999999999999]","[2.5113070201758179, 2.4470437514613641, 2.3723861969992872, 2.3105751962683931, 2.283398064454353, 2.2652809611926683, 2.2378177561954757, 2.2143372491772499, 2.1974207950204017, 2.1799159423136647]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.35,0.3812,1.9948948205882264,0.3581,2.069437233585495,50,0.0019999999999999996,plotresults/Fsearch16.png,0.9,"[0.21479999999999999, 0.25969999999999999, 0.27929999999999999, 0.30220000000000002, 0.32329999999999998, 0.33350000000000002, 0.3634, 0.36749999999999999, 0.37109999999999999, 0.38119999999999998]","[2.4102090788964579, 2.3206266484225107, 2.2770934664527074, 2.2023328513590639, 2.1468046663439271, 2.1177958391982714, 2.0651085695927907, 2.0419934590716387, 2.0230423995968225, 1.9948948205882264]","[0.21340000000000001, 0.25090000000000001, 0.26889999999999997, 0.29449999999999998, 0.31169999999999998, 0.31230000000000002, 0.33910000000000001, 0.34100000000000003, 0.34560000000000002, 0.35809999999999997]","[2.4150007346954951, 2.329688592778052, 2.2945765848427566, 2.2283132451650225, 2.182832073824446, 2.1659508062492177, 2.1227271720469063, 2.10686270374454, 2.0924293527951283, 2.0694372335854951]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.31666666666666665,0.3755,2.0135137930871028,0.3559,2.097696688939386,50,0.0019999999999999996,plotresults/Fsearch17.png,0.9,"[0.20169999999999999, 0.2409, 0.2858, 0.30509999999999998, 0.32690000000000002, 0.3397, 0.35360000000000003, 0.3664, 0.37009999999999998, 0.3755]","[2.4174611773450319, 2.3533468898197922, 2.2672168460564288, 2.1967569304035903, 2.1483918974166185, 2.113487683302417, 2.0800765519722062, 2.0554080976206395, 2.0362290218799974, 2.0135137930871028]","[0.19139999999999999, 0.22900000000000001, 0.27139999999999997, 0.29199999999999998, 0.30530000000000002, 0.31919999999999998, 0.33410000000000001, 0.34860000000000002, 0.35470000000000002, 0.35589999999999999]","[2.4254899418667772, 2.3693424883594671, 2.2925495707491681, 2.2255323877198507, 2.1828632857258041, 2.1563862723723237, 2.1332622688527918, 2.1195550230786888, 2.1108627519986443, 2.097696688939386]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.2833333333333333,0.3756,2.0150782086400043,0.3478,2.1050342385168332,50,0.0019999999999999996,plotresults/Fsearch18.png,0.9,"[0.19589999999999999, 0.2374, 0.29470000000000002, 0.30690000000000001, 0.31190000000000001, 0.3342, 0.34720000000000001, 0.35949999999999999, 0.38090000000000002, 0.37559999999999999]","[2.427951836517936, 2.3570399980044927, 2.2332227305791785, 2.1944131115760079, 2.1536480453693514, 2.1045677382950214, 2.0774528686354232, 2.0567023512757889, 2.0301149010184565, 2.0150782086400043]","[0.1898, 0.2283, 0.28760000000000002, 0.29389999999999999, 0.3009, 0.31580000000000003, 0.3261, 0.33529999999999999, 0.3493, 0.3478]","[2.4340075980438933, 2.3652893200009819, 2.2492496554518566, 2.2175382143812312, 2.1825749004183352, 2.1441473339119814, 2.1319396891007893, 2.1260644195051905, 2.1117637871565154, 2.1050342385168332]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.25,0.3591,2.0451635593780004,0.3395,2.1052084703809903,50,0.0019999999999999996,plotresults/Fsearch19.png,0.9,"[0.18140000000000001, 0.22239999999999999, 0.24979999999999999, 0.27639999999999998, 0.2999, 0.30649999999999999, 0.317, 0.33410000000000001, 0.34620000000000001, 0.35909999999999997]","[2.449685437358446, 2.3697775335500997, 2.3020880762824176, 2.2497545021631216, 2.2094679651921041, 2.1753147667148949, 2.1371665577300938, 2.1007519250443023, 2.0699452446120157, 2.0451635593780004]","[0.1721, 0.21560000000000001, 0.24079999999999999, 0.27160000000000001, 0.29099999999999998, 0.30049999999999999, 0.31240000000000001, 0.32540000000000002, 0.33189999999999997, 0.33950000000000002]","[2.4523062568365863, 2.3769305981934119, 2.3142123677684165, 2.2668683157961795, 2.2325786831429677, 2.2041863479628803, 2.1720301056823836, 2.1426447694866746, 2.1208537160489285, 2.1052084703809903]"
